,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Alanis Morissette,5311,160,17,['foreignbard'],http://en.wikipedia.org/wiki/Alanis Morissette
Bruno Mars,336643,87,24,"['pop', 'rap', 'dance']",http://en.wikipedia.org/wiki/Bruno Mars
Cream,21263,133,20,"['hardrock', 'rock', 'pop']",http://en.wikipedia.org/wiki/Cream (band)
Bright Eyes,3953,224,32,['indie'],http://en.wikipedia.org/wiki/Bright Eyes (band)
Ludwig van Beethoven,2057962,124459,9552,[],
Regina Spektor,22542,113,26,['indie'],http://en.wikipedia.org/wiki/Regina Spektor
The Postal Service,1029,22,7,"['alternative', 'foreignbard', 'rock']",http://en.wikipedia.org/wiki/The Postal Service
Train,4602,151,9,"['pop', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Train (band)
Phil Collins,58912,329,21,['rock'],http://en.wikipedia.org/wiki/Phil Collins
M.I.A.,125005,125,20,['bassgenre'],http://en.wikipedia.org/wiki/M.I.A. (rapper)
Ramones,44220,364,36,"['punk', 'rock']",http://en.wikipedia.org/wiki/Ramones
Fergie,412001,78,16,['rnb'],http://en.wikipedia.org/wiki/Fergie (singer)
Michael Bublé,470077,191,30,['vocaljazz'],http://en.wikipedia.org/wiki/Michael Bublé
New Order,313235,188,28,"['rock', 'pop', 'newwave']",http://en.wikipedia.org/wiki/New Order (band)
Rammstein,2564915,143,15,['industrial'],http://en.wikipedia.org/wiki/Rammstein
Mumford & Sons,23987,82,18,['indie'],http://en.wikipedia.org/wiki/Mumford & Sons
Destiny’s Child,28264,74,1,"['pop', 'rnb', 'holiday']",http://en.wikipedia.org/wiki/Destiny's Child
Lenny Kravitz,84970,234,37,['rock'],http://en.wikipedia.org/wiki/Lenny Kravitz
Good Charlotte,49005,121,6,"['alternative', 'punk', 'rock']",http://en.wikipedia.org/wiki/Good Charlotte
Nina Simone,889712,773,321,['vocaljazz'],http://en.wikipedia.org/wiki/Nina Simone
Bullet for My Valentine,193577,112,6,['metalcoregenre'],http://en.wikipedia.org/wiki/Bullet for My Valentine
Sting,1402962,437,64,"['pop', 'rock', 'reggae']",http://en.wikipedia.org/wiki/Sting (musician)
Van Halen,56925,202,19,['hardrock'],http://en.wikipedia.org/wiki/Van Halen
Hoobastank,9303,85,10,"['rock', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Hoobastank
Ozzy Osbourne,314497,161,0,['classicmetal'],http://en.wikipedia.org/wiki/Ozzy Osbourne
Billy Joel,36352,275,7,"['rock', 'pop', 'classical']",http://en.wikipedia.org/wiki/Billy Joel
Bryan Adams,58702,290,44,"['rock', 'pop', 'holiday']",http://en.wikipedia.org/wiki/Bryan Adams
Damien Rice,7148,51,10,['foreignbard'],http://en.wikipedia.org/wiki/Damien Rice
Neil Young,9225,837,104,"['rock', 'folkrock', 'hardrock']",http://en.wikipedia.org/wiki/Neil Young
Jet,5150,59,12,"['rock', 'pop', 'electronics']",http://en.wikipedia.org/wiki/Jet (Australian band)
Aretha Franklin,219381,990,238,['soul'],http://en.wikipedia.org/wiki/Aretha Franklin
John Legend,189927,316,21,"['rnb', 'pop', 'edmgenre']",http://en.wikipedia.org/wiki/John Legend
Foster the People,60676,75,10,['indie'],http://en.wikipedia.org/wiki/Foster the People
Sublime,23947,166,22,['ska'],http://en.wikipedia.org/wiki/Sublime (band)
Deftones,106817,131,19,['alternativemetal'],http://en.wikipedia.org/wiki/Deftones
Band of Horses,5527,68,7,['indie'],http://en.wikipedia.org/wiki/Band of Horses
The Flaming Lips,4314,333,47,['indie'],http://en.wikipedia.org/wiki/The Flaming Lips
The National,37636,151,20,['indie'],http://en.wikipedia.org/wiki/The National (band)
Louis Armstrong,1834345,8971,1140,['tradjazz'],http://en.wikipedia.org/wiki/Louis Armstrong
Prince,21095,741,45,['rnb'],http://en.wikipedia.org/wiki/Prince (musician)
Rick Ross,99754,1101,217,"['rap', 'rnb', 'foreignrap']",http://en.wikipedia.org/wiki/Rick Ross
Tenacious D,9969,84,6,['classicmetal'],http://en.wikipedia.org/wiki/Tenacious D
Avenged Sevenfold,35727,123,21,['classicmetal'],http://en.wikipedia.org/wiki/Avenged Sevenfold
Two Door Cinema Club,39269,39,6,['indie'],http://en.wikipedia.org/wiki/Two Door Cinema Club
Blondie,930638,226,45,['newwave'],http://en.wikipedia.org/wiki/Blondie (band)
Journey,19925,187,6,"['rock', 'hardrock', 'prog']",http://en.wikipedia.org/wiki/Journey (band)
Justice,15016,90,22,"['electronics', 'pop', 'house']",http://en.wikipedia.org/wiki/Justice (band)
Goldfrapp,3896,146,30,"['electronics', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Goldfrapp
Belle and Sebastian,3768,206,34,['indie'],http://en.wikipedia.org/wiki/Belle and Sebastian
Travis,866854,201,18,"['rap', 'dance', 'pop']",http://en.wikipedia.org/wiki/Travis Scott
Ciara,113061,123,6,"['pop', 'rnb', 'rap']",http://en.wikipedia.org/wiki/Ciara
Ray Charles,1691025,2306,634,"['rnb', 'jazz', 'blues']",http://en.wikipedia.org/wiki/Ray Charles
The Cardigans,72016,96,14,"['rock', 'pop']",http://en.wikipedia.org/wiki/The Cardigans
The Script,34389,71,1,"['pop', 'rock']",http://en.wikipedia.org/wiki/The Script
Passion Pit,2804,70,1,['indie'],http://en.wikipedia.org/wiki/Passion Pit
Leona Lewis,7555,117,11,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Leona Lewis
Elliott Smith,6688,138,11,"['rock', 'alternative', 'indie']",http://en.wikipedia.org/wiki/Elliott Smith
Simple Plan,49969,93,26,['alternative'],http://en.wikipedia.org/wiki/Simple Plan
Paul McCartney,78199,853,71,['rock'],http://en.wikipedia.org/wiki/Paul McCartney
Imagine Dragons,4642935,124,29,['rock'],http://en.wikipedia.org/wiki/Imagine Dragons
Editors,13935,34,5,['indie'],http://en.wikipedia.org/wiki/Editors (band)
ABBA,710073,140,16,"['pop', 'estrada', 'dance']",http://en.wikipedia.org/wiki/ABBA
Van Morrison,2292,622,41,"['rock', 'jazz', 'pop']",http://en.wikipedia.org/wiki/Van Morrison
Scorpions,2325419,241,22,['hardrock'],http://en.wikipedia.org/wiki/Scorpions (band)
MIKA,18243,138,39,"['pop', 'holiday', 'african']",http://en.wikipedia.org/wiki/Mika (singer)
Cat Power,7212,163,20,['indie'],http://en.wikipedia.org/wiki/Cat Power
Tiësto,1927505,434,132,['edmgenre'],http://en.wikipedia.org/wiki/Tiësto
Jamiroquai,35980,123,7,['pop'],http://en.wikipedia.org/wiki/Jamiroquai
José González,5107,159,24,"['pop', 'folk', 'foreignbard']",http://en.wikipedia.org/wiki/José González (singer)
Justin Bieber,291997,230,43,['pop'],http://en.wikipedia.org/wiki/Justin Bieber
Ella Fitzgerald,481600,8911,1338,['vocaljazz'],http://en.wikipedia.org/wiki/Ella Fitzgerald
Fleet Foxes,8582,71,13,['folkrock'],http://en.wikipedia.org/wiki/Fleet Foxes
Ed Sheeran,1615104,231,57,['pop'],http://en.wikipedia.org/wiki/Ed Sheeran
LCD Soundsystem,5749,96,17,['indie'],http://en.wikipedia.org/wiki/LCD Soundsystem
KISS,810334,312,47,"['hardrock', 'rock', 'classicmetal']",http://en.wikipedia.org/wiki/Kiss (band)
Sonic Youth,15799,361,43,"['alternative', 'rock', 'experimental']",http://en.wikipedia.org/wiki/Sonic Youth
Talking Heads,15930,140,22,"['rock', 'pop']",http://en.wikipedia.org/wiki/Talking Heads
Stereophonics,23156,172,18,['rock'],http://en.wikipedia.org/wiki/Stereophonics
Seether,57336,132,19,"['alternative', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Seether
Gnarls Barkley,8270,28,8,"['pop', 'foreignrap', 'funk']",http://en.wikipedia.org/wiki/Gnarls Barkley
Whitney Houston,356106,205,4,"['pop', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Whitney Houston
