,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Bruno Mars,334527,87,24,"['pop', 'rap', 'dance']",http://en.wikipedia.org/wiki/Bruno Mars
Cream,21095,133,20,"['hardrock', 'rock', 'pop']",http://en.wikipedia.org/wiki/Cream (band)
Bright Eyes,3952,224,32,['indie'],http://en.wikipedia.org/wiki/Bright Eyes (band)
Ludwig van Beethoven,2027918,124539,9562,[],
Regina Spektor,22449,113,26,['indie'],http://en.wikipedia.org/wiki/Regina Spektor
The Postal Service,1022,22,7,"['alternative', 'foreignbard', 'rock']",http://en.wikipedia.org/wiki/The Postal Service
Train,4592,151,9,"['pop', 'rock', 'electronics']",http://en.wikipedia.org/wiki/Train (band)
Phil Collins,58065,329,21,['rock'],http://en.wikipedia.org/wiki/Phil Collins
M.I.A.,124532,125,20,['bassgenre'],http://en.wikipedia.org/wiki/M.I.A. (rapper)
Ramones,43511,364,36,"['punk', 'rock']",http://en.wikipedia.org/wiki/Ramones
Fergie,405073,78,16,['rnb'],http://en.wikipedia.org/wiki/Fergie (singer)
Michael Bublé,453793,191,30,['vocaljazz'],http://en.wikipedia.org/wiki/Michael Bublé
New Order,304131,188,28,"['rock', 'pop', 'newwave']",http://en.wikipedia.org/wiki/New Order (band)
Rammstein,2507265,143,15,['industrial'],http://en.wikipedia.org/wiki/Rammstein
Mumford & Sons,23912,82,18,['indie'],http://en.wikipedia.org/wiki/Mumford & Sons
Destiny’s Child,28217,72,1,"['pop', 'rnb', 'holiday']",http://en.wikipedia.org/wiki/Destiny's Child
Lenny Kravitz,83445,234,37,['rock'],http://en.wikipedia.org/wiki/Lenny Kravitz
Good Charlotte,48920,121,6,"['alternative', 'punk', 'rock']",http://en.wikipedia.org/wiki/Good Charlotte
Nina Simone,878427,772,320,['vocaljazz'],http://en.wikipedia.org/wiki/Nina Simone
Bullet for My Valentine,192855,112,6,['metalcoregenre'],http://en.wikipedia.org/wiki/Bullet for My Valentine
Sting,1375759,437,63,"['pop', 'rock', 'reggae']",http://en.wikipedia.org/wiki/Sting (musician)
Van Halen,56208,202,19,['hardrock'],http://en.wikipedia.org/wiki/Van Halen
Hoobastank,9248,85,10,"['rock', 'alternative', 'pop']",http://en.wikipedia.org/wiki/Hoobastank
Ozzy Osbourne,313916,162,0,['classicmetal'],http://en.wikipedia.org/wiki/Ozzy Osbourne
Billy Joel,36233,275,7,"['rock', 'pop', 'classical']",http://en.wikipedia.org/wiki/Billy Joel
Bryan Adams,57821,293,44,"['rock', 'pop', 'holiday']",http://en.wikipedia.org/wiki/Bryan Adams
Damien Rice,7114,51,10,['foreignbard'],http://en.wikipedia.org/wiki/Damien Rice
Neil Young,9131,837,104,"['rock', 'folkrock', 'hardrock']",http://en.wikipedia.org/wiki/Neil Young
Jet,5113,59,12,"['rock', 'pop', 'electronics']",http://en.wikipedia.org/wiki/Jet (Australian band)
Aretha Franklin,218633,990,235,['soul'],http://en.wikipedia.org/wiki/Aretha Franklin
John Legend,189873,316,21,"['rnb', 'pop', 'edmgenre']",http://en.wikipedia.org/wiki/John Legend
Foster the People,60574,75,10,['indie'],http://en.wikipedia.org/wiki/Foster the People
Sublime,23840,166,22,['ska'],http://en.wikipedia.org/wiki/Sublime (band)
Deftones,104314,131,19,['alternativemetal'],http://en.wikipedia.org/wiki/Deftones
Band of Horses,5498,68,7,['indie'],http://en.wikipedia.org/wiki/Band of Horses
The Flaming Lips,4300,333,47,['indie'],http://en.wikipedia.org/wiki/The Flaming Lips
The National,37524,151,20,['indie'],http://en.wikipedia.org/wiki/The National (band)
Louis Armstrong,1811479,8990,1139,['tradjazz'],http://en.wikipedia.org/wiki/Louis Armstrong
Prince,21016,741,45,['rnb'],http://en.wikipedia.org/wiki/Prince (musician)
Rick Ross,99646,1100,214,"['rap', 'rnb', 'foreignrap']",http://en.wikipedia.org/wiki/Rick Ross
Tenacious D,9632,83,5,['classicmetal'],http://en.wikipedia.org/wiki/Tenacious D
Avenged Sevenfold,35262,123,21,['classicmetal'],http://en.wikipedia.org/wiki/Avenged Sevenfold
Two Door Cinema Club,39135,39,6,['indie'],http://en.wikipedia.org/wiki/Two Door Cinema Club
Blondie,914120,226,45,['newwave'],http://en.wikipedia.org/wiki/Blondie (band)
Journey,19688,187,6,"['rock', 'hardrock', 'prog']",http://en.wikipedia.org/wiki/Journey (band)
Justice,14861,91,22,"['electronics', 'pop', 'house']",http://en.wikipedia.org/wiki/Justice (band)
Goldfrapp,3870,146,30,"['electronics', 'pop', 'alternative']",http://en.wikipedia.org/wiki/Goldfrapp
Belle and Sebastian,3743,206,34,['indie'],http://en.wikipedia.org/wiki/Belle and Sebastian
Travis,864775,202,18,"['rap', 'dance', 'pop']",http://en.wikipedia.org/wiki/Travis Scott
Ciara,112855,136,10,"['pop', 'rnb', 'rap']",http://en.wikipedia.org/wiki/Ciara
Ray Charles,1663011,2314,630,"['rnb', 'jazz', 'blues']",http://en.wikipedia.org/wiki/Ray Charles
The Cardigans,71014,96,14,"['rock', 'pop']",http://en.wikipedia.org/wiki/The Cardigans
The Script,34388,71,1,"['pop', 'rock']",http://en.wikipedia.org/wiki/The Script
Passion Pit,2798,70,1,['indie'],http://en.wikipedia.org/wiki/Passion Pit
Leona Lewis,7520,117,11,"['pop', 'electronics', 'dance']",http://en.wikipedia.org/wiki/Leona Lewis
Elliott Smith,6630,138,11,"['rock', 'alternative', 'indie']",http://en.wikipedia.org/wiki/Elliott Smith
Simple Plan,49794,93,26,['alternative'],http://en.wikipedia.org/wiki/Simple Plan
Paul McCartney,77592,854,71,['rock'],http://en.wikipedia.org/wiki/Paul McCartney
Imagine Dragons,4564984,124,29,['rock'],http://en.wikipedia.org/wiki/Imagine Dragons
Editors,13884,34,5,['indie'],http://en.wikipedia.org/wiki/Editors (band)
ABBA,706973,140,16,"['pop', 'estrada', 'dance']",http://en.wikipedia.org/wiki/ABBA
Van Morrison,2276,623,41,"['rock', 'jazz', 'pop']",http://en.wikipedia.org/wiki/Van Morrison
Scorpions,2289167,241,22,['hardrock'],http://en.wikipedia.org/wiki/Scorpions (band)
MIKA,18137,139,39,"['pop', 'holiday', 'african']",http://en.wikipedia.org/wiki/Mika (singer)
Cat Power,7184,163,20,['indie'],http://en.wikipedia.org/wiki/Cat Power
Tiësto,1917567,435,131,['edmgenre'],http://en.wikipedia.org/wiki/Tiësto
Jamiroquai,35709,123,7,['pop'],http://en.wikipedia.org/wiki/Jamiroquai
José González,5048,161,26,"['pop', 'foreignbard', 'folk']",http://en.wikipedia.org/wiki/José González (singer)
Justin Bieber,290544,229,43,['pop'],http://en.wikipedia.org/wiki/Justin Bieber
Ella Fitzgerald,479891,8908,1338,['vocaljazz'],http://en.wikipedia.org/wiki/Ella Fitzgerald
Fleet Foxes,8522,71,13,['folkrock'],http://en.wikipedia.org/wiki/Fleet Foxes
Ed Sheeran,1606923,231,57,['pop'],http://en.wikipedia.org/wiki/Ed Sheeran
